begin,start,commence,initiate
positive,certain,sure,confident
definite,certain,sure,clear
indefinite,unclear,vague,uncertain
few,scant,sparse,limited
scant,few,sparse,meager
sparse,few,scant,scattered
limited,restricted,bounded,confined
bounded,limited,confined,restricted
all,entire,whole,complete
entire,whole,complete,full
whole,entire,complete,full
full,complete,whole,entire
empty,bare,vacant,hollow
hollow,empty,vacant,vacuous
often,frequently,commonly,regularly
frequently,often,regularly,commonly
commonly,often,frequently,usually
regularly,often,frequently,routinely
routinely,regularly,habitually,customarily
habitually,routinely,regularly,usually
customarily,usually,typically,traditionally
traditionally,customarily,conventionally,classically
conventionally,traditionally,customarily,normally
normally,usually,typically,commonly
typically,usually,normally,generally
usually,typically,normally,generally
generally,usually,typically,broadly
broadly,generally,widely,extensively
widely,broadly,extensively,vastly
extensively,widely,broadly,thoroughly
always,constantly,continually,perpetually
constantly,continually,always,perpetually
continually,constantly,always,unceasingly
perpetually,always,constantly,eternally
eternally,perpetually,forever,always
forever,eternally,perpetually,always
sometimes,occasionally,periodically,intermittently
occasionally,sometimes,periodically,sporadically
periodically,occasionally,intermittently,regularly
intermittently,sporadically,occasionally,periodically
sporadically,occasionally,intermittently,irregularly
irregularly,sporadically,intermittently,unevenly
rarely,seldom,hardly,scarcely
seldom,rarely,hardly,scarcely
hardly,scarcely,barely,rarely
scarcely,barely,hardly,rarely
barely,scarcely,hardly,just
just,merely,barely,only
merely,just,only,simply
only,solely,merely,just
solely,only,exclusively,entirely
exclusively,solely,only,entirely
truly,really,genuinely,actually
really,truly,genuinely,actually
genuinely,truly,really,authentically
actually,really,truly,indeed
indeed,truly,really,actually
clearly,plainly,obviously,evidently
plainly,clearly,simply,obviously
obviously,clearly,plainly,evidently
evidently,clearly,obviously,apparently
apparently,seemingly,obviously,evidently
seemingly,apparently,ostensibly,evidently
nearly,almost,virtually,practically
almost,nearly,practically,virtually
virtually,nearly,almost,practically
practically,virtually,nearly,almost
roughly,approximately,about,nearly
approximately,roughly,about,nearly
about,approximately,roughly,nearly
exactly,precisely,specifically,accurately
precisely,exactly,accurately,specifically
specifically,exactly,particularly,explicitly
explicitly,specifically,clearly,plainly
expressly,specifically,explicitly,clearly
completely,entirely,fully,wholly
entirely,completely,fully,wholly
fully,completely,entirely,wholly
wholly,fully,completely,entirely
totally,completely,entirely,utterly
utterly,completely,absolutely,totally
absolutely,completely,totally,utterly
partly,partially,somewhat,slightly
partially,partly,somewhat,slightly
somewhat,partly,slightly,rather
slightly,marginally,somewhat,minor
marginally,slightly,barely,minimally
mostly,mainly,primarily,chiefly
mainly,primarily,mostly,chiefly
primarily,mainly,chiefly,mostly
chiefly,mainly,primarily,principally
principally,chiefly,mainly,primarily
especially,particularly,notably,specifically
particularly,especially,notably,specifically
notably,especially,particularly,significantly
significantly,considerably,notably,substantially
considerably,substantially,significantly,notably
substantially,considerably,significantly,greatly
greatly,considerably,significantly,vastly
vastly,greatly,enormously,considerably
enormously,greatly,vastly,immensely
immensely,enormously,vastly,greatly
extremely,exceedingly,highly,intensely
exceedingly,extremely,highly,enormously
highly,extremely,greatly,considerably
intensely,strongly,deeply,fervently
deeply,profoundly,intensely,strongly
profoundly,deeply,intensely,greatly
strongly,deeply,intensely,firmly
firmly,strongly,solidly,steadfastly
steadfastly,firmly,resolutely,unwaveringly
resolutely,firmly,steadfastly,decisively
decisively,resolutely,firmly,definitively
definitively,decisively,conclusively,finally
conclusively,definitively,decisively,finally
finally,eventually,ultimately,lastly
eventually,finally,ultimately,sooner
ultimately,finally,eventually,lastly
lastly,finally,ultimately,eventually
firstly,initially,primarily,foremost
initially,first,originally,primarily
originally,initially,first,primarily
foremost,first,primary,leading
primary,main,chief,principal
chief,main,primary,principal
main,chief,primary,principal
principal,main,chief,primary
secondary,subordinate,subsidiary,minor
subsidiary,secondary,subordinate,auxiliary
subordinate,secondary,inferior,lower
auxiliary,additional,supplementary,extra
supplementary,additional,extra,auxiliary
additional,extra,further,supplementary
extra,additional,further,supplementary
further,additional,extra,more
moreover,furthermore,additionally,besides
furthermore,moreover,additionally,besides
additionally,moreover,furthermore,besides
besides,moreover,furthermore,additionally
also,too,additionally,likewise
likewise,similarly,equally,also
similarly,likewise,equally,correspondingly
correspondingly,similarly,likewise,accordingly
therefore,thus,hence,consequently
thus,therefore,hence,consequently
hence,therefore,thus,consequently
consequently,therefore,thus,accordingly
accordingly,consequently,therefore,thus
although,though,whereas,while
though,although,whereas,while
whereas,while,although,though
while,although,though,whilst
whilst,while,although,though
because,since,as,for
since,because,as,for
person,individual,human,soul
individual,person,human,party
human,person,individual,mortal
mortal,human,person,creature
creature,being,animal,human
people,individuals,persons,folks
folks,people,individuals,persons
populace,people,public,citizenry
public,populace,people,community
citizenry,citizens,populace,public
citizens,people,populace,public
group,collection,cluster,gathering
collection,group,assemblage,bunch
cluster,group,bunch,collection
gathering,assembly,collection,group
assembly,gathering,group,convocation
crowd,throng,multitude,horde
throng,crowd,multitude,host
multitude,crowd,throng,horde
horde,crowd,throng,multitude
host,multitude,host,army
army,force,host,legion
legion,army,multitude,host
team,squad,group,crew
squad,team,group,crew
crew,team,squad,gang
gang,group,band,crew
band,group,gang,company
company,group,band,firm
firm,company,business,corporation
business,company,firm,enterprise
enterprise,business,venture,undertaking
venture,enterprise,undertaking,endeavor
undertaking,venture,enterprise,endeavor
project,undertaking,venture,scheme
scheme,plan,project,plot
plot,scheme,plan,intrigue
intrigue,scheme,plot,conspiracy
conspiracy,plot,scheme,intrigue
thing,object,item,article
object,thing,item,article
item,object,thing,article
article,item,object,piece
piece,part,fragment,chunk
chunk,piece,lump,block
fragment,piece,bit,shard
shard,fragment,sliver,splinter
sliver,shard,fragment,splinter
splinter,shard,sliver,fragment
bit,piece,fragment,morsel
morsel,bit,scrap,piece
scrap,morsel,bit,fragment
way,manner,means,mode
manner,way,fashion,style
fashion,manner,style,way
style,manner,fashion,way
mode,manner,way,style
means,way,method,medium
method,approach,technique,way
approach,method,technique,strategy
technique,method,approach,procedure
procedure,process,method,routine
process,procedure,method,operation
routine,procedure,custom,habit
custom,tradition,routine,practice
tradition,custom,practice,heritage
practice,custom,routine,habit
habit,custom,routine,practice
strategy,plan,scheme,approach
tactic,strategy,maneuver,ploy
maneuver,move,tactic,operation
ploy,tactic,trick,scheme
trick,deception,ruse,ploy
deception,trickery,fraud,deceit
fraud,deception,scam,deceit
deceit,deception,dishonesty,fraud
dishonesty,deceit,deception,fraud
honesty,truthfulness,integrity,sincerity
truthfulness,honesty,sincerity,candor
sincerity,honesty,candor,frankness
candor,frankness,honesty,sincerity
frankness,candor,honesty,bluntness
bluntness,candor,frankness,directness
directness,bluntness,frankness,straightforwardness
time,period,era,epoch
period,time,era,interval
era,age,epoch,period
epoch,era,age,period
age,era,epoch,period
interval,gap,pause,break
break,pause,interval,intermission
intermission,break,pause,interval
gap,space,opening,break
space,gap,room,area
area,region,zone,district
region,area,zone,district
zone,area,region,sector
district,area,region,quarter
quarter,district,area,region
sector,area,region,division
locale,place,location,site
location,place,site,spot
place,location,site,spot
site,place,location,spot
spot,place,site,location
position,location,place,spot
posture,position,stance,bearing
stance,position,posture,attitude
attitude,stance,view,disposition
disposition,nature,temperament,character
nature,character,disposition,essence
character,nature,personality,disposition
personality,character,nature,temperament
temperament,nature,disposition,character
event,occurrence,incident,happening
occurrence,event,incident,happening
incident,event,occurrence,episode
happening,event,occurrence,incident
episode,incident,event,occurrence
occasion,event,occurrence,instance
case,instance,situation,example
instance,case,example,occurrence
example,instance,illustration,sample
illustration,example,instance,sample
sample,specimen,example,instance
specimen,sample,example,instance
problem,issue,difficulty,challenge
issue,problem,matter,concern
difficulty,problem,trouble,challenge
challenge,difficulty,problem,test
test,trial,exam,examination
trial,test,ordeal,trouble
ordeal,trial,trouble,hardship
hardship,trouble,ordeal,suffering
suffering,pain,distress,agony
pain,suffering,ache,distress
ache,pain,soreness,throb
soreness,pain,ache,tenderness
distress,suffering,anguish,trouble
anguish,suffering,distress,torment
torment,torture,agony,anguish
agony,torment,suffering,torture
matter,issue,problem,concern
concern,worry,issue,problem
solution,answer,resolution,fix
answer,reply,response,solution
response,reply,answer,reaction
reaction,response,reply,answer
resolution,solution,answer,decision
fix,solution,repair,remedy
remedy,solution,cure,fix
cure,remedy,solution,treatment
treatment,care,handling,remedy
care,attention,treatment,concern
attention,care,heed,notice
heed,attention,care,notice
notice,attention,heed,observation
observation,notice,remark,note
question,inquiry,query,issue
inquiry,question,query,investigation
query,question,inquiry,issue
investigation,inquiry,probe,examination
examination,inspection,investigation,study
inspection,examination,scrutiny,review
scrutiny,examination,inspection,review
review,examination,survey,assessment
assessment,evaluation,judgment,review
judgment,decision,verdict,opinion
verdict,decision,judgment,ruling
ruling,decision,verdict,judgment
decision,choice,judgment,ruling
choice,decision,selection,option
selection,choice,pick,option
option,choice,alternative,selection
alternative,option,choice,substitute
substitute,replace,switch,alternative
replace,substitute,supplant,switch
supplant,replace,supersede,displace
supersede,replace,supplant,override
override,overrule,supersede,annul
overrule,override,reverse,annul
annul,cancel,nullify,void
nullify,annul,invalidate,void
invalidate,nullify,annul,negate
negate,deny,nullify,invalidate
cancel,annul,revoke,void
revoke,cancel,annul,rescind
rescind,revoke,cancel,annul
idea,concept,notion,thought
concept,notion,idea,conception
notion,idea,concept,thought
thought,idea,notion,reflection
conception,idea,concept,notion
reflection,thought,consideration,contemplation
consideration,thought,reflection,deliberation
deliberation,consideration,thought,reflection
opinion,view,belief,perspective
view,opinion,perspective,outlook
perspective,view,outlook,viewpoint
outlook,perspective,view,viewpoint
viewpoint,perspective,view,opinion
belief,conviction,view,opinion
conviction,belief,certainty,confidence
faith,belief,trust,confidence
trust,confidence,faith,belief
confidence,trust,assurance,faith
assurance,confidence,certainty,promise
promise,pledge,vow,word
pledge,promise,vow,oath
vow,promise,pledge,oath
oath,vow,promise,pledge
truth,fact,reality,verity
fact,truth,reality,actuality
reality,actuality,truth,fact
actuality,reality,fact,truth
verity,truth,fact,reality
falsehood,lie,untruth,fabrication
lie,falsehood,fib,untruth
untruth,lie,falsehood,fabrication
fabrication,lie,fiction,invention
invention,creation,fabrication,innovation
innovation,invention,novelty,advancement
novelty,innovation,newness,uniqueness
advancement,progress,improvement,advance
progress,advance,advancement,headway
headway,progress,advance,advancement
knowledge,understanding,learning,wisdom
wisdom,knowledge,insight,sagacity
insight,wisdom,understanding,perception
sagacity,wisdom,insight,shrewdness
shrewdness,sagacity,cunning,astuteness
cunning,shrewdness,craft,guile
guile,cunning,deceit,trickery
craft,skill,art,trade
skill,ability,talent,expertise
ability,capability,capacity,skill
capability,ability,capacity,competence
capacity,ability,capability,potential
potential,capacity,ability,promise
talent,gift,aptitude,ability
gift,present,donation,talent
aptitude,talent,ability,knack
knack,talent,skill,gift
expertise,skill,proficiency,mastery
proficiency,skill,expertise,mastery
mastery,expertise,command,proficiency
command,mastery,control,authority
energy,vigor,vitality,strength
vigor,energy,vitality,strength
vitality,energy,vigor,life
strength,power,force,might
might,strength,power,force
force,strength,power,might
power,strength,might,force
authority,power,jurisdiction,command
jurisdiction,authority,domain,scope
domain,realm,sphere,jurisdiction
realm,domain,kingdom,sphere
sphere,realm,domain,arena
arena,sphere,domain,field
field,domain,arena,realm
control,power,authority,command
influence,power,sway,control
sway,influence,power,control
right,privilege,entitlement,prerogative
privilege,right,advantage,prerogative
entitlement,right,privilege,claim
prerogative,right,privilege,liberty
liberty,freedom,independence,latitude
freedom,liberty,independence,autonomy
independence,freedom,autonomy,liberty
autonomy,independence,freedom,liberty
duty,responsibility,obligation,task
responsibility,duty,obligation,burden
obligation,duty,responsibility,commitment
commitment,obligation,pledge,promise
burden,load,weight,responsibility
load,burden,weight,cargo
weight,burden,load,heaviness
cargo,load,freight,goods
freight,cargo,goods,load
goods,merchandise,products,wares
merchandise,goods,products,wares
products,goods,merchandise,output
wares,goods,merchandise,products
output,production,yield,result
production,output,manufacturing,creation
manufacturing,production,fabrication,construction
fabrication,manufacture,construction,creation
construction,building,erection,creation
building,construction,structure,edifice
edifice,building,structure,construction
structure,building,framework,construction
framework,structure,skeleton,system
skeleton,frame,framework,structure
frame,framework,structure,skeleton
system,structure,scheme,arrangement
arrangement,structure,system,configuration
configuration,arrangement,structure,setup
setup,arrangement,configuration,structure
organization,group,body,association
association,organization,group,society
society,community,civilization,association
community,group,society,neighborhood
neighborhood,community,district,area
nation,country,state,land
country,nation,state,land
state,condition,status,situation
condition,state,status,shape
status,condition,state,standing
standing,status,position,reputation
reputation,standing,name,renown
renown,fame,reputation,prestige
fame,renown,reputation,celebrity
celebrity,fame,prominence,renown
prominence,fame,distinction,eminence
distinction,prominence,eminence,fame
eminence,prominence,distinction,fame
prestige,renown,distinction,esteem
honor,respect,esteem,distinction
respect,esteem,admiration,honor
admiration,respect,esteem,regard
regard,respect,esteem,consideration
consideration,regard,thought,respect
land,country,nation,terrain
terrain,land,ground,territory
ground,land,earth,soil
earth,ground,soil,land
soil,earth,ground,dirt
dirt,soil,filth,grime
filth,dirt,grime,squalor
grime,dirt,filth,soot
territory,land,region,area
city,town,metropolis,municipality
town,city,settlement,community
metropolis,city,megacity,capital
capital,metropolis,city,seat
municipality,city,town,municipal
village,hamlet,town,settlement
hamlet,village,community,settlement
settlement,colony,community,village
colony,settlement,outpost,community
outpost,colony,frontier,base
base,foundation,base,headquarters
foundation,base,basis,groundwork
basis,foundation,grounds,base
grounds,basis,reasons,foundation
groundwork,foundation,basis,preparation
preparation,readiness,setup,arrangement
readiness,preparation,willingness,alacrity
alacrity,readiness,eagerness,willingness
willingness,readiness,eagerness,alacrity
eagerness,enthusiasm,zeal,keenness
enthusiasm,eagerness,zeal,passion
zeal,enthusiasm,passion,fervor
fervor,zeal,passion,ardor
ardor,fervor,passion,enthusiasm
passion,emotion,fervor,zeal
emotion,feeling,sentiment,passion
feeling,emotion,sensation,sentiment
sensation,feeling,sense,perception
perception,awareness,sense,insight
awareness,perception,consciousness,knowledge
consciousness,awareness,perception,realization
realization,awareness,understanding,perception
world,earth,globe,planet
earth,world,globe,planet
globe,world,earth,sphere
planet,world,sphere,heavenly
universe,cosmos,creation,world
cosmos,universe,creation,world
creation,universe,cosmos,formation
formation,creation,development,arrangement
development,growth,evolution,progress
growth,development,expansion,enlargement
evolution,development,progression,advancement
progression,advancement,progress,evolution
history,past,record,chronicle
past,history,bygone,yesteryear
chronicle,history,record,account
account,record,description,report
record,account,document,register
document,record,paper,manuscript
paper,document,sheet,journal
journal,diary,paper,record
diary,journal,log,record
log,diary,record,journal
register,record,enroll,enlist
enroll,register,enlist,join
enlist,enroll,register,join
manuscript,document,paper,text
text,document,manuscript,passage
passage,extract,excerpt,text
extract,excerpt,passage,selection
excerpt,passage,extract,selection
future,outlook,prospect,tomorrow
outlook,prospect,future,view
prospect,outlook,future,possibility
possibility,prospect,chance,opportunity
chance,opportunity,possibility,occasion
opportunity,chance,opening,occasion
opening,opportunity,chance,gap
present,current,now,today
current,present,contemporary,modern
contemporary,current,modern,present
modern,current,contemporary,recent
yesterday,past,bygone,history
century,era,epoch,age
year,annum,twelvemonth,period
day,date,daytime,morning
moment,instant,second,juncture
instant,moment,second,flash
second,moment,instant,jiffy
juncture,moment,point,instance
struggle,fight,battle,contest
fight,battle,combat,struggle
battle,fight,combat,conflict
combat,fight,battle,warfare
conflict,clash,struggle,dispute
clash,conflict,collision,encounter
collision,crash,clash,impact
encounter,meeting,clash,contact
meeting,gathering,encounter,assembly
warfare,combat,war,fighting
war,conflict,battle,fighting
fighting,combat,war,struggle
peace,calm,tranquility,harmony
harmony,accord,peace,unity
accord,agreement,harmony,concord
unity,oneness,harmony,solidarity
solidarity,unity,cohesion,togetherness
cohesion,unity,solidarity,bond
togetherness,unity,cohesion,fellowship
fellowship,companionship,community,brotherhood
companionship,fellowship,company,friendship
friendship,companionship,fellowship,bond
bond,connection,tie,link
connection,link,bond,tie
size,dimension,magnitude,scale
dimension,size,measurement,scope
measurement,dimension,size,gauge
gauge,measure,assess,evaluate
measure,assess,gauge,evaluate
magnitude,size,scale,extent
scale,size,magnitude,scope
amount,quantity,sum,total
quantity,amount,number,volume
number,figure,sum,count
figure,number,sum,statistic
statistic,figure,number,datum
datum,fact,information,piece
data,information,facts,statistics
information,data,facts,details
details,specifics,particulars,information
specifics,details,particulars,information
particulars,details,specifics,information
sum,total,aggregate,amount
total,sum,aggregate,whole
aggregate,total,sum,whole
volume,amount,quantity,bulk
bulk,volume,mass,majority
mass,bulk,volume,quantity
majority,bulk,most,plurality
plurality,majority,multitude,multiple
minority,handful,fraction,subset
percent,percentage,proportion,fraction
percentage,percent,proportion,share
proportion,ratio,share,percentage
ratio,proportion,relation,rate
share,portion,part,piece
portion,share,part,piece
fraction,part,portion,bit
ratio,proportion,relation,relationship
relation,relationship,connection,link
relationship,connection,bond,link
purpose,aim,goal,objective
aim,goal,target,objective
goal,aim,target,objective
target,goal,objective,aim
objective,goal,aim,target
intention,purpose,aim,plan
intent,purpose,aim,intention
ambition,aspiration,goal,aim
aspiration,ambition,goal,dream
dream,aspiration,goal,vision
vision,dream,aspiration,sight
sight,vision,view,spectacle
spectacle,sight,display,scene
scene,view,sight,setting
setting,scene,environment,backdrop
backdrop,setting,scene,background
background,backdrop,context,history
context,setting,backdrop,situation
situation,circumstance,position,condition
circumstance,situation,condition,event
event,occurrence,happening,incident
risk,danger,hazard,peril
danger,risk,peril,hazard
hazard,risk,danger,peril
peril,danger,risk,hazard
threat,danger,menace,peril
menace,threat,danger,peril
fear,dread,terror,fright
dread,fear,terror,horror
terror,fear,dread,horror
horror,terror,dread,revulsion
fright,fear,scare,terror
scare,fright,frighten,terrify
frighten,scare,terrify,alarm
terrify,frighten,scare,horrify
horrify,shock,appall,terrify
shock,startle,jolt,stun
startle,shock,surprise,alarm
surprise,astonish,startle,shock
astonish,amaze,surprise,astound
amaze,astonish,astound,stun
astound,astonish,amaze,stun
stun,shock,daze,stagger
daze,stun,bewilder,confuse
bewilder,confuse,perplex,baffle
confuse,perplex,bewilder,puzzle
perplex,puzzle,confuse,baffle
baffle,confuse,puzzle,perplex
puzzle,perplex,confuse,baffle
brave,courageous,bold,valiant
courageous,brave,bold,valiant
bold,brave,daring,courageous
daring,bold,brave,audacious
audacious,bold,daring,brazen
brazen,bold,shameless,brassy
valiant,brave,courageous,heroic
heroic,brave,valiant,gallant
gallant,brave,valiant,chivalrous
honest,truthful,sincere,frank
truthful,honest,veracious,sincere
sincere,genuine,honest,heartfelt
genuine,authentic,real,sincere
authentic,genuine,real,actual
real,genuine,authentic,actual
fake,counterfeit,bogus,phony
counterfeit,fake,forged,bogus
bogus,fake,phony,counterfeit
phony,fake,bogus,counterfeit
forged,fake,counterfeit,sham
sham,fake,phony,counterfeit
hard,difficult,tough,demanding
difficult,hard,tough,arduous
tough,hard,difficult,demanding
demanding,tough,exacting,strenuous
arduous,difficult,laborious,strenuous
strenuous,arduous,demanding,grueling
grueling,exhausting,demanding,arduous
exhausting,tiring,grueling,draining
tiring,wearying,exhausting,fatiguing
draining,exhausting,depleting,sapping
laborious,arduous,toilsome,strenuous
toilsome,laborious,arduous,exhausting
easy,simple,effortless,straightforward
simple,easy,plain,uncomplicated
effortless,easy,smooth,facile
facile,easy,effortless,smooth
straightforward,direct,simple,clear
uncomplicated,simple,easy,straightforward
plain,simple,clear,unadorned
unadorned,plain,simple,bare
sound,solid,reliable,valid
sound,noise,tone,resonance
noise,sound,clamor,din
clamor,noise,uproar,din
din,noise,racket,clamor
racket,noise,clamor,din
quiet,still,silent,hushed
hushed,quiet,silent,subdued
subdued,quiet,muted,restrained
muted,subdued,quiet,softened
softened,muted,gentle,subdued
mute,silent,voiceless,speechless
silent,mute,quiet,wordless
wordless,silent,mute,unspoken
unspoken,silent,implied,tacit
tacit,unspoken,implied,implicit
implicit,implied,tacit,unstated
implied,suggested,implicit,tacit
suggested,proposed,implied,recommended
proposed,suggested,offered,recommended
recommended,suggested,advised,proposed
advised,recommended,counseled,suggested
counseled,advised,guided,recommended
guided,led,directed,counseled
led,guided,directed,headed
directed,led,guided,steered
steered,directed,guided,piloted
piloted,steered,navigated,flown
navigated,steered,piloted,plotted
plotted,planned,plotted,charted
charted,plotted,mapped,planned
mapped,charted,plotted,outlined
outlined,sketched,described,traced
sketched,outlined,drafted,drew
drafted,sketched,outlined,prepared
drew,sketched,drafted,depicted
depicted,portrayed,described,illustrated
portrayed,depicted,described,represented
represented,depicted,portrayed,symbolized
symbolized,represented,signified,denoted
signified,meant,denoted,represented
meant,signified,denoted,implied
implied,meant,suggested,signified
red,scarlet,crimson,ruby
scarlet,red,crimson,ruby
crimson,red,scarlet,ruby
ruby,red,crimson,scarlet
blue,azure,navy,cobalt
azure,blue,cerulean,navy
green,emerald,verdant,olive
emerald,green,verdant,jade
verdant,green,lush,flourishing
lush,verdant,thick,abundant
yellow,amber,golden,blonde
amber,yellow,golden,honey
golden,gold,amber,yellow
white,ivory,snowy,pale
ivory,white,cream,pale
snowy,white,pale,frosty
pale,light,white,faded
faded,pale,bleached,dim
bleached,faded,whitened,pale
black,ebony,jet,raven
ebony,black,jet,dark
jet,black,ebony,dark
dark,black,gloomy,dim
gray,grey,silvery,ashen
grey,gray,silvery,ashen
silvery,gray,grey,silver
ashen,gray,pale,wan
wan,pale,sickly,ashen
brown,tan,beige,umber
tan,brown,beige,bronzed
beige,tan,buff,khaki
khaki,tan,beige,olive
buff,beige,tan,fawn
fawn,beige,tan,brown
orange,amber,tangerine,coral
purple,violet,lilac,plum
violet,purple,lilac,mauve
lilac,purple,violet,mauve
mauve,purple,lilac,violet
plum,purple,violet,maroon
maroon,burgundy,wine,crimson
burgundy,maroon,wine,crimson
wine,burgundy,maroon,crimson
pink,rose,salmon,coral
rose,pink,roseate,blush
salmon,pink,coral,peach
coral,pink,salmon,peach
peach,salmon,coral,apricot
apricot,peach,orange,coral
